Feature,human,gpt
pos_bigrams:SPACE AUX,-0.0,0.0
pos_bigrams:CCONJ DET,0.014217786782572775,-0.014217786782572775
pos_bigrams:DET CCONJ,0.005488281321754388,-0.005488281321754388
pos_bigrams:CCONJ INTJ,0.2972016446139218,-0.2972016446139218
pos_bigrams:INTJ CCONJ,0.101350145318887,-0.101350145318887
pos_bigrams:CCONJ NOUN,0.16429360635022008,-0.16429360635022008
pos_bigrams:NOUN CCONJ,0.24974257772455632,-0.24974257772455632
pos_bigrams:CCONJ NUM,0.01736860772363998,-0.01736860772363998
pos_bigrams:NUM CCONJ,-0.1244286649453741,0.1244286649453741
pos_bigrams:CCONJ PART,-0.11012153054428642,0.11012153054428642
pos_bigrams:PART CCONJ,-0.03580693124858077,0.03580693124858077
pos_bigrams:CCONJ PRON,-0.21239625259570535,0.21239625259570535
pos_bigrams:PRON CCONJ,-0.27771623660574046,0.27771623660574046
pos_bigrams:CCONJ PROPN,-0.06132017296418324,0.06132017296418324
pos_bigrams:PROPN CCONJ,-0.031688833077167085,0.031688833077167085
pos_bigrams:CCONJ PUNCT,-0.36597297104626314,0.36597297104626314
pos_bigrams:PUNCT CCONJ,-0.15222409602931528,0.15222409602931528
pos_bigrams:CCONJ SCONJ,-0.04704529804542399,0.04704529804542399
pos_bigrams:SCONJ CCONJ,-0.07925026879734139,0.07925026879734139
pos_bigrams:CCONJ SYM,-0.0025901920069639666,0.0025901920069639666
pos_bigrams:SYM CCONJ,-0.0066747995026939545,0.0066747995026939545
pos_bigrams:CCONJ VERB,-0.07365973176806227,0.07365973176806227
pos_bigrams:VERB CCONJ,-0.20066695153210115,0.20066695153210115
pos_bigrams:CCONJ X,-0.06665117264557117,0.06665117264557117
pos_bigrams:X CCONJ,-0.0013720027576407674,0.0013720027576407674
pos_bigrams:CCONJ SPACE,-0.0,0.0
pos_bigrams:SPACE CCONJ,-0.0,0.0
pos_bigrams:DET INTJ,-0.10231658230500072,0.10231658230500072
pos_bigrams:INTJ DET,-0.014909038850230464,0.014909038850230464
pos_bigrams:DET NOUN,0.06650827705731958,-0.06650827705731958
pos_bigrams:NOUN DET,-0.2550712509301273,0.2550712509301273
pos_bigrams:DET NUM,-0.17050236579683406,0.17050236579683406
pos_bigrams:NUM DET,-0.0012681316440842948,0.0012681316440842948
pos_bigrams:DET PART,-0.010420174690933022,0.010420174690933022
pos_bigrams:PART DET,0.019341150858602607,-0.019341150858602607
pos_bigrams:DET PRON,-0.0951130785254409,0.0951130785254409
pos_bigrams:PRON DET,-0.09762686675730765,0.09762686675730765
pos_bigrams:DET PROPN,-0.1891521763139546,0.1891521763139546
pos_bigrams:PROPN DET,-0.19038640071035243,0.19038640071035243
pos_bigrams:DET PUNCT,-0.09014619638448401,0.09014619638448401
pos_bigrams:PUNCT DET,0.29336335536044256,-0.29336335536044256
pos_bigrams:DET SCONJ,-0.046627077328561944,0.046627077328561944
pos_bigrams:SCONJ DET,-0.0550368397344851,0.0550368397344851
pos_bigrams:DET SYM,-0.034266633623666734,0.034266633623666734
pos_bigrams:SYM DET,-0.039843828106941565,0.039843828106941565
pos_bigrams:DET VERB,0.0666744863418455,-0.0666744863418455
pos_bigrams:VERB DET,0.13115539368423296,-0.13115539368423296
pos_bigrams:DET X,-0.11707307440956148,0.11707307440956148
pos_bigrams:X DET,0.1820167528263585,-0.1820167528263585
pos_bigrams:DET SPACE,-0.0,0.0
pos_bigrams:SPACE DET,-0.0,0.0
pos_bigrams:INTJ NOUN,-0.05186532594633091,0.05186532594633091
pos_bigrams:NOUN INTJ,0.10480418921578047,-0.10480418921578047
pos_bigrams:INTJ NUM,0.06683957035226915,-0.06683957035226915
pos_bigrams:NUM INTJ,-0.09255082653444645,0.09255082653444645
pos_bigrams:INTJ PART,-0.05329559249271252,0.05329559249271252
pos_bigrams:PART INTJ,-0.0888408452064766,0.0888408452064766
pos_bigrams:INTJ PRON,-0.1357402267135558,0.1357402267135558
pos_bigrams:PRON INTJ,0.008309833385436012,-0.008309833385436012
pos_bigrams:INTJ PROPN,-0.1223968847867012,0.1223968847867012
pos_bigrams:PROPN INTJ,0.11651983447876971,-0.11651983447876971
pos_bigrams:INTJ PUNCT,-0.20638066892806448,0.20638066892806448
pos_bigrams:PUNCT INTJ,-0.002504551385241977,0.002504551385241977
pos_bigrams:INTJ SCONJ,-0.07024933318600868,0.07024933318600868
pos_bigrams:SCONJ INTJ,-0.08713941942588459,0.08713941942588459
pos_bigrams:INTJ SYM,-0.005078928004582646,0.005078928004582646
pos_bigrams:SYM INTJ,-0.010825777684353933,0.010825777684353933
pos_bigrams:INTJ VERB,-0.015526004745769055,0.015526004745769055
pos_bigrams:VERB INTJ,-0.01800388351274183,0.01800388351274183
pos_bigrams:INTJ X,-0.09768880276601126,0.09768880276601126
pos_bigrams:X INTJ,-0.03727605894951368,0.03727605894951368
pos_bigrams:INTJ SPACE,-0.0,0.0
pos_bigrams:SPACE INTJ,-0.0,0.0
pos_bigrams:NOUN NUM,-0.017917347751969237,0.017917347751969237
pos_bigrams:NUM NOUN,-0.2948583608893842,0.2948583608893842
pos_bigrams:NOUN PART,-0.12670972699046035,0.12670972699046035
pos_bigrams:PART NOUN,-0.01619626034763201,0.01619626034763201
pos_bigrams:NOUN PRON,0.11150725242211512,-0.11150725242211512
pos_bigrams:PRON NOUN,0.10981009669664855,-0.10981009669664855
pos_bigrams:NOUN PROPN,-0.035644133153185854,0.035644133153185854
pos_bigrams:PROPN NOUN,-0.16644657021386935,0.16644657021386935
pos_bigrams:NOUN PUNCT,0.18264412678127132,-0.18264412678127132
pos_bigrams:PUNCT NOUN,-0.23100794558445134,0.23100794558445134
pos_bigrams:NOUN SCONJ,-0.02182388127135962,0.02182388127135962
pos_bigrams:SCONJ NOUN,-0.01744121028162693,0.01744121028162693
pos_bigrams:NOUN SYM,-0.04114554275325985,0.04114554275325985
pos_bigrams:SYM NOUN,-0.04759398702171797,0.04759398702171797
pos_bigrams:NOUN VERB,0.19792607273077667,-0.19792607273077667
pos_bigrams:VERB NOUN,-0.004294361442882966,0.004294361442882966
pos_bigrams:NOUN X,-0.1184965094106898,0.1184965094106898
pos_bigrams:X NOUN,0.0019185829495553827,-0.0019185829495553827
pos_bigrams:NOUN SPACE,-0.0,0.0
pos_bigrams:SPACE NOUN,-0.0,0.0
pos_bigrams:NUM PART,-0.008410626595193055,0.008410626595193055
pos_bigrams:PART NUM,-0.01086893471395853,0.01086893471395853
pos_bigrams:NUM PRON,0.03974921216310519,-0.03974921216310519
pos_bigrams:PRON NUM,-0.020534222812153148,0.020534222812153148
pos_bigrams:NUM PROPN,-0.007849865492028369,0.007849865492028369
pos_bigrams:PROPN NUM,0.139168416713863,-0.139168416713863
pos_bigrams:NUM PUNCT,-0.11962339555833167,0.11962339555833167
pos_bigrams:PUNCT NUM,-0.16991088944432411,0.16991088944432411
pos_bigrams:NUM SCONJ,-0.1331979434266801,0.1331979434266801
pos_bigrams:SCONJ NUM,-0.17441840282196136,0.17441840282196136
pos_bigrams:NUM SYM,0.1609067094219575,-0.1609067094219575
pos_bigrams:SYM NUM,0.13355524383558043,-0.13355524383558043
pos_bigrams:NUM VERB,0.09612063496699129,-0.09612063496699129
pos_bigrams:VERB NUM,-0.2657544737999748,0.2657544737999748
pos_bigrams:NUM X,0.0019598952767152975,-0.0019598952767152975
pos_bigrams:X NUM,-0.15891756869137413,0.15891756869137413
pos_bigrams:NUM SPACE,-0.0,0.0
pos_bigrams:SPACE NUM,-0.0,0.0
pos_bigrams:PART PRON,0.09099506274335606,-0.09099506274335606
pos_bigrams:PRON PART,-0.18937102874499628,0.18937102874499628
pos_bigrams:PART PROPN,-0.06645112623015688,0.06645112623015688
pos_bigrams:PROPN PART,0.13450387887279888,-0.13450387887279888
pos_bigrams:PART PUNCT,-0.3379575755674689,0.3379575755674689
pos_bigrams:PUNCT PART,-0.0018612956695560033,0.0018612956695560033
pos_bigrams:PART SCONJ,0.03615530146192484,-0.03615530146192484
pos_bigrams:SCONJ PART,-0.1607041775059694,0.1607041775059694
pos_bigrams:PART SYM,-0.01855236265447865,0.01855236265447865
pos_bigrams:SYM PART,-0.023658456070060764,0.023658456070060764
pos_bigrams:PART VERB,-0.16206887758422087,0.16206887758422087
pos_bigrams:VERB PART,0.20936830126382572,-0.20936830126382572
pos_bigrams:PART X,-0.052657224761430504,0.052657224761430504
pos_bigrams:X PART,-0.01327555673691514,0.01327555673691514
pos_bigrams:PART SPACE,-0.0,0.0
pos_bigrams:SPACE PART,-0.0,0.0
pos_bigrams:PRON PROPN,-0.14240046323083774,0.14240046323083774
pos_bigrams:PROPN PRON,-0.031822668438082985,0.031822668438082985
pos_bigrams:PRON PUNCT,-0.33148185437188005,0.33148185437188005
pos_bigrams:PUNCT PRON,0.22801979706960707,-0.22801979706960707
pos_bigrams:PRON SCONJ,-0.20559527039977954,0.20559527039977954
pos_bigrams:SCONJ PRON,-0.08307711581270844,0.08307711581270844
pos_bigrams:PRON SYM,-0.026187625624803607,0.026187625624803607
pos_bigrams:SYM PRON,0.04223310362480598,-0.04223310362480598
pos_bigrams:PRON VERB,0.044673811517881974,-0.044673811517881974
pos_bigrams:VERB PRON,-0.0015094210469631215,0.0015094210469631215
pos_bigrams:PRON X,-0.15145697816352816,0.15145697816352816
pos_bigrams:X PRON,-0.09320031071605658,0.09320031071605658
pos_bigrams:PRON SPACE,-0.0,0.0
pos_bigrams:SPACE PRON,-0.0,0.0
pos_bigrams:PROPN PUNCT,-0.07028727066850186,0.07028727066850186
pos_bigrams:PUNCT PROPN,0.35304569986071893,-0.35304569986071893
pos_bigrams:PROPN SCONJ,-0.07928615474432896,0.07928615474432896
pos_bigrams:SCONJ PROPN,0.04060587542165577,-0.04060587542165577
pos_bigrams:PROPN SYM,-0.013454300306175011,0.013454300306175011
pos_bigrams:SYM PROPN,-0.019891938380336892,0.019891938380336892
pos_bigrams:PROPN VERB,-0.09789206561057553,0.09789206561057553
pos_bigrams:VERB PROPN,-0.4086328097500202,0.4086328097500202
pos_bigrams:PROPN X,-0.07431446104667554,0.07431446104667554
pos_bigrams:X PROPN,0.08597856757218705,-0.08597856757218705
pos_bigrams:PROPN SPACE,-0.0,0.0
pos_bigrams:SPACE PROPN,-0.0,0.0
pos_bigrams:PUNCT SCONJ,-0.11209755097966889,0.11209755097966889
pos_bigrams:SCONJ PUNCT,-0.16583240619241021,0.16583240619241021
pos_bigrams:PUNCT SYM,0.03335205706384495,-0.03335205706384495
pos_bigrams:SYM PUNCT,-0.01705365441547419,0.01705365441547419
pos_bigrams:PUNCT VERB,0.17098481331185655,-0.17098481331185655
pos_bigrams:VERB PUNCT,0.14774162666337676,-0.14774162666337676
pos_bigrams:PUNCT X,-0.16881051326624075,0.16881051326624075
pos_bigrams:X PUNCT,0.1670357156824701,-0.1670357156824701
pos_bigrams:PUNCT SPACE,-0.0,0.0
pos_bigrams:SPACE PUNCT,-0.0,0.0
pos_bigrams:SCONJ SYM,-0.0004709494946114491,0.0004709494946114491
pos_bigrams:SYM SCONJ,-0.004801600333325279,0.004801600333325279
pos_bigrams:SCONJ VERB,0.12921415016759477,-0.12921415016759477
pos_bigrams:VERB SCONJ,-0.2823001027928739,0.2823001027928739
pos_bigrams:SCONJ X,0.0202548537146248,-0.0202548537146248
pos_bigrams:X SCONJ,-0.034440669985733564,0.034440669985733564
pos_bigrams:SCONJ SPACE,-0.0,0.0
pos_bigrams:SPACE SCONJ,-0.0,0.0
pos_bigrams:SYM VERB,-0.07284991559155593,0.07284991559155593
pos_bigrams:VERB SYM,0.023605304328176063,-0.023605304328176063
pos_bigrams:SYM X,-0.01664958349769417,0.01664958349769417
pos_bigrams:X SYM,-0.007758649235891558,0.007758649235891558
pos_bigrams:SYM SPACE,-0.0,0.0
pos_bigrams:SPACE SYM,-0.0,0.0
pos_bigrams:VERB X,-0.054974235025441735,0.054974235025441735
pos_bigrams:X VERB,-0.008769587304087582,0.008769587304087582
pos_bigrams:VERB SPACE,-0.0,0.0
pos_bigrams:SPACE VERB,-0.0,0.0
pos_bigrams:X SPACE,-0.0,0.0
pos_bigrams:SPACE X,-0.0,0.0
pos_bigrams:ADJ ADJ,-0.5127935124313068,0.5127935124313068
pos_bigrams:ADP ADP,-0.26307156826266875,0.26307156826266875
pos_bigrams:ADV ADV,-0.1738998388438484,0.1738998388438484
pos_bigrams:AUX AUX,-0.11404143122636697,0.11404143122636697
pos_bigrams:CCONJ CCONJ,-0.06021815842487081,0.06021815842487081
pos_bigrams:DET DET,-0.04202307113732226,0.04202307113732226
pos_bigrams:INTJ INTJ,-0.07965501855409893,0.07965501855409893
pos_bigrams:NOUN NOUN,-0.18713369647132191,0.18713369647132191
pos_bigrams:NUM NUM,-0.24432523869402234,0.24432523869402234
pos_bigrams:PART PART,0.03703133557540322,-0.03703133557540322
pos_bigrams:PRON PRON,-0.11228198978584396,0.11228198978584396
pos_bigrams:PROPN PROPN,-0.00794804096378987,0.00794804096378987
pos_bigrams:PUNCT PUNCT,-0.30653747368970075,0.30653747368970075
pos_bigrams:SCONJ SCONJ,0.0704771330144007,-0.0704771330144007
pos_bigrams:SYM SYM,0.0006872095131824369,-0.0006872095131824369
pos_bigrams:VERB VERB,-0.13713283249638158,0.13713283249638158
