Feature,gpt,human
pos_bigrams:DET PRON,-0.0951130785254409,0.0951130785254409
morph_tags:Tense=Past,-0.0944878590431475,0.0944878590431475
func_words:clear,-0.0935640478915701,0.0935640478915701
pos_bigrams:X PRON,-0.0932003107160565,0.0932003107160565
pos_bigrams:ADP PRON,-0.0930333656373236,0.0930333656373236
func_words:i,-0.0929860158596943,0.0929860158596943
pos_bigrams:NUM INTJ,-0.0925508265344464,0.0925508265344464
pos_bigrams:ADJ ADV,0.0923433288731601,-0.0923433288731601
func_words:should,-0.0922215367949672,0.0922215367949672
pos_unigrams:SCONJ,-0.0914766265734453,0.0914766265734453
pos_bigrams:PART PRON,0.090995062743356,-0.090995062743356
func_words:really,-0.0908279105729803,0.0908279105729803
pos_bigrams:NOUN ADJ,0.0903133381426234,-0.0903133381426234
pos_bigrams:DET PUNCT,-0.090146196384484,0.090146196384484
pos_bigrams:CCONJ ADP,-0.08973667725059,0.08973667725059
morph_tags:Polarity=Neg,-0.0895137105670373,0.0895137105670373
func_words:far,-0.0888590847040919,0.0888590847040919
pos_bigrams:PART INTJ,-0.0888408452064766,0.0888408452064766
func_words:towards,0.0886691099892728,-0.0886691099892728
letters:L,0.0879640068232328,-0.0879640068232328
pos_unigrams:NOUN,0.087759850750291,-0.087759850750291
letters:E,0.0873802587462757,-0.0873802587462757
morph_tags:Mood=Ind,-0.0873187259581418,0.0873187259581418
pos_bigrams:SCONJ INTJ,-0.0871394194258845,0.0871394194258845
pos_bigrams:AUX ADP,-0.087132706243899,0.087132706243899
func_words:their,0.0868814443546069,-0.0868814443546069
func_words:was,-0.0867848872123336,0.0867848872123336
pos_bigrams:ADP SYM,-0.0867434759742644,0.0867434759742644
func_words:than,-0.086501262008246,0.086501262008246
pos_bigrams:INTJ ADJ,-0.0863569999923673,0.0863569999923673
pos_bigrams:X PROPN,0.085978567572187,-0.085978567572187
morph_tags:VerbForm=Ger,-0.0848687338962683,0.0848687338962683
func_words:once,0.0840264688275915,-0.0840264688275915
pos_bigrams:SCONJ PRON,-0.0830771158127084,0.0830771158127084
morph_tags:Person=2,0.083021489240229,-0.083021489240229
letters:D,0.0829488276826932,-0.0829488276826932
pos_bigrams:PUNCT ADV,0.0820785101968806,-0.0820785101968806
func_words:somewhat,-0.0818675573016252,0.0818675573016252
pos_bigrams:PRON ADP,-0.0815025386241556,0.0815025386241556
pos_unigrams:ADJ,0.0801435243168281,-0.0801435243168281
morph_tags:Case=Nom,-0.0799974335813999,0.0799974335813999
pos_bigrams:INTJ INTJ,-0.0796550185540989,0.0796550185540989
pos_bigrams:ADV PART,-0.0794363437990314,0.0794363437990314
pos_bigrams:ADP PART,0.0793481200317232,-0.0793481200317232
pos_bigrams:PROPN SCONJ,-0.0792861547443289,0.0792861547443289
pos_bigrams:SCONJ CCONJ,-0.0792502687973413,0.0792502687973413
morph_tags:Number=Plur,0.0786747843059472,-0.0786747843059472
pos_bigrams:PRON ADV,0.0779558325903938,-0.0779558325903938
func_words:up,-0.0766028198779354,0.0766028198779354
pos_unigrams:PROPN,-0.0763416085737824,0.0763416085737824
