Feature,human,gpt
func_words:beneath,-0.16805068577596136,0.16805068577596136
pos_bigrams:PROPN INTJ,-0.16744085032758546,0.16744085032758546
pos_bigrams:NOUN CCONJ,-0.16720603760350253,0.16720603760350253
pos_bigrams:VERB PART,-0.16687119075562554,0.16687119075562554
pos_bigrams:PUNCT VERB,-0.1660328267367611,0.1660328267367611
func_words:also,0.16557106239712546,-0.16557106239712546
func_words:to,0.164764347658559,-0.164764347658559
pos_bigrams:AUX VERB,0.16422930714400397,-0.16422930714400397
func_words:for,-0.16345159990982913,0.16345159990982913
func_words:those,-0.16335966083350253,0.16335966083350253
dep_labels:expl,0.1633116677069461,-0.1633116677069461
sentences:passive,0.16320578119270723,-0.16320578119270723
func_words:true,-0.16235148605951386,0.16235148605951386
morph_tags:Gender=Fem,0.1613155885322618,-0.1613155885322618
pos_bigrams:DET ADV,0.16130313905566107,-0.16130313905566107
punctuation:?,0.16037256088190746,-0.16037256088190746
pos_bigrams:VERB CCONJ,0.15955205357291216,-0.15955205357291216
pos_bigrams:ADV ADV,0.15943728497987691,-0.15943728497987691
sentence_count:count,0.1589189296991807,-0.1589189296991807
pos_bigrams:NUM PUNCT,0.15869803355715548,-0.15869803355715548
pos_bigrams:SCONJ PART,0.15783003732116702,-0.15783003732116702
pos_bigrams:PRON PART,0.15764235340927313,-0.15764235340927313
pos_bigrams:ADV ADJ,0.15651563502524485,-0.15651563502524485
pos_bigrams:PRON SCONJ,0.15608681246935394,-0.15608681246935394
pos_bigrams:SCONJ ADP,0.15606830047024892,-0.15606830047024892
func_words:him,0.15595364496668776,-0.15595364496668776
dep_labels:quantmod,0.1554153241210588,-0.1554153241210588
pos_bigrams:DET NUM,0.15453364082109494,-0.15453364082109494
pos_unigrams:PROPN,0.15412923535790166,-0.15412923535790166
dep_labels:preconj,-0.15381717248393534,0.15381717248393534
func_words:negative,0.15334438131384992,-0.15334438131384992
func_words:'d,-0.15272982397641433,0.15272982397641433
func_words:may,0.15172704255283848,-0.15172704255283848
pos_bigrams:NUM ADJ,0.1510063654156663,-0.1510063654156663
pos_bigrams:AUX NOUN,0.14942902973424838,-0.14942902973424838
pos_bigrams:PUNCT CCONJ,0.14928404988154628,-0.14928404988154628
func_words:both,-0.149014612435243,0.149014612435243
sentences:obj-relcl,0.1486131076416262,-0.1486131076416262
dep_labels:aux,0.14856616728702265,-0.14856616728702265
pos_bigrams:PUNCT SCONJ,0.148375156969412,-0.148375156969412
morph_tags:VerbForm=Part,-0.14792545508921182,0.14792545508921182
pos_bigrams:X NUM,0.14692848589158608,-0.14692848589158608
pos_bigrams:ADJ VERB,0.14667960336280544,-0.14667960336280544
func_words:here,0.1463753679331231,-0.1463753679331231
pos_bigrams:PRON PROPN,0.14616470978696788,-0.14616470978696788
pos_bigrams:DET ADP,0.14610708856653995,-0.14610708856653995
morph_tags:Mood=Ind,0.14574840476242132,-0.14574840476242132
pos_unigrams:PART,0.14569785038301045,-0.14569785038301045
func_words:necessary,-0.1446780367336841,0.1446780367336841
morph_tags:Case=Acc,0.14422703253432734,-0.14422703253432734
pos_bigrams:NUM CCONJ,0.14345084607749437,-0.14345084607749437
morph_tags:Tense=Past,0.14284441135309775,-0.14284441135309775
punctuation:(,0.14169437003512456,-0.14169437003512456
pos_bigrams:INTJ PROPN,0.14169023554310345,-0.14169023554310345
func_words:tomorrow,-0.14159348530181473,0.14159348530181473
pos_bigrams:X PUNCT,-0.14104872856584488,0.14104872856584488
dep_labels:nummod,0.13940668612447557,-0.13940668612447557
func_words:during,-0.1393161816714586,0.1393161816714586
unique_transitions:count,-0.13787090612310704,0.13787090612310704
func_words:how,-0.1370010798023576,0.1370010798023576
pos_bigrams:PUNCT NUM,0.1369914211688901,-0.1369914211688901
pos_bigrams:PROPN NOUN,0.13694934083991747,-0.13694934083991747
pos_bigrams:SCONJ NUM,0.13648704967403869,-0.13648704967403869
pos_bigrams:PART VERB,0.1361954879327975,-0.1361954879327975
morph_tags:Definite=Ind,0.1361190704959593,-0.1361190704959593
func_words:through,-0.1344681480996314,0.1344681480996314
dep_labels:npadvmod,0.13427971325053975,-0.13427971325053975
func_words:possible,0.13324660915113953,-0.13324660915113953
func_words:big,0.13290345454911148,-0.13290345454911148
func_words:when,0.13261567313648853,-0.13261567313648853
punctuation:),0.13183436418351405,-0.13183436418351405
pos_bigrams:AUX DET,-0.13144974152505903,0.13144974152505903
